state,group,subgroup,Name,Id,Lat,Lon,Predictions
Alaska,   British Columbia and Alaska,        Dixon Entrance,"            Kelp Island Passage, Duke Island",9450142,54.8767,-131.3,Subordinate
Alaska,   British Columbia and Alaska,        Dixon Entrance,"            Nakat Harbor, Alaska",9450104,54.82,-130.7,Subordinate
Alaska,   British Columbia and Alaska,        Dixon Entrance,"            Haystack Island, B.C.",8218362,54.7167,-130.6167,Subordinate
Alaska,   British Columbia and Alaska,"        Portland Canal, etc.","            Wales Island (Cannery), Pearse Canal",8218447,54.7667,-130.55,Subordinate
Alaska,   British Columbia and Alaska,"        Portland Canal, etc.","            Kumeon Bay, B.C.",8218361,54.7167,-130.2167,Subordinate
Alaska,   British Columbia and Alaska,"        Portland Canal, etc.","            Mill Bay, Nass River, B.C.",8218617,55,-129.9,Subordinate
Alaska,   British Columbia and Alaska,"        Portland Canal, etc.","            Stewart, B.C.",8219894,55.9167,-129.8,Subordinate
Alaska,   British Columbia and Alaska,"        Portland Canal, etc.","            Davis River entrance, Alaska",9450729,55.76,-130.177,Subordinate
Alaska,    Revillagigedo Channel,,"        Morse Cove, Duke Island",9450172,54.92,-131.255,Subordinate
Alaska,    Revillagigedo Channel,,        Kah Shakes Cove,9450254,55.0417,-130.98,Subordinate
Alaska,    Revillagigedo Channel,,        Boca de Quadra,9450305,55.1167,-130.798,Subordinate
Alaska,    Revillagigedo Channel,,"        Custom House Cove, Mary Island",9450296,55.1,-131.217,Harmonic
Alaska,    Revillagigedo Channel,,"        Mop Point, Thorne Arm",9450483,55.3833,-131.235,Subordinate
Alaska,    Revillagigedo Channel,,"        Coon Island, George Inlet",9450533,55.4617,-131.505,Subordinate
Alaska,    Revillagigedo Channel,,        KETCHIKAN,9450460,55.3318,-131.6262,Harmonic
Alaska,    Revillagigedo Channel,,        Ward Cove,9450492,55.3983,-131.727,Subordinate
Alaska,    Behm Canal,,"        Alva Bay, Revillagigedo Island",9450382,55.2283,-131.133,Subordinate
Alaska,    Behm Canal,,        Vallenar Point,9450511,55.4267,-131.847,Subordinate
Alaska,    Behm Canal,,        Rudyerd Bay,9450651,55.6417,-130.645,Subordinate
Alaska,    Behm Canal,,        Fitzgibbon Cove,9450879,55.9833,-131.175,Subordinate
Alaska,    Behm Canal,,"        Burrough Bay, Behm Canal",9450914,56.0383,-131.095,Harmonic
Alaska,    Behm Canal,,"        Yes Cannery, Yes Bay",9450836,55.9133,-131.797,Subordinate
Alaska,    Behm Canal,,"        Loring, Naha Bay",9450624,55.6017,-131.632,Subordinate
Alaska,    Behm Canal,,"        Tamgas Harbor, Annette Island",9450273,55.0667,-131.542,Subordinate
Alaska,    Behm Canal,,"        Ingraham Bay, Prince of Wales Island",9450212,54.98,-132.007,Subordinate
Alaska,    Behm Canal,,"        Menefee Anch., Prince of Wales Island",9450244,55.0267,-132.013,Subordinate
