state,group,subgroup,Name,Id,Lat,Lon,Predictions
California,    Baja California,,        San Carlos,TWC0399,24.7833,-112.1167,Subordinate
California,    Baja California,,        Isla Guadalupe,TWC0401,28.8833,-116.3,Subordinate
California,    Baja California,,"        Ensenada, Todos Santos Bay",TWC0403,31.85,-116.6333,Subordinate
California,    Southern California,,        Imperial Beach,9410120,32.5783,-117.135,Subordinate
California,    Southern California,,        Point Loma,TWC0405,32.6667,-117.2333,Subordinate
California,    Southern California,,"        San Diego, Quarantine Station",9410166,32.7033,-117.235,Subordinate
California,    Southern California,,        SAN DIEGO (Broadway),9410170,32.7142,-117.1736,Harmonic
California,    Southern California,,"        National City, San Diego Bay",9410152,32.665,-117.118,Subordinate
California,    Southern California,,        South San Diego Bay,9410135,32.6291,-117.1078,Harmonic
California,    Southern California,,"        Quivira Basin, Mission Bay",TWC0413,32.7667,-117.2333,Subordinate
California,    Southern California,,"        Mission Bay, Campland",9410196,32.7937,-117.2238,Harmonic
California,    Southern California,,        La Jolla (Scripps Institution Wharf),9410230,32.8669,-117.2571,Harmonic
California,    Southern California,,        San Clemente,TWC0419,33.4167,-117.6167,Subordinate
California,    San Pedro Channel,,"        Newport Bay Entrance, Corona del Mar",9410580,33.6033,-117.883,Harmonic
California,    San Pedro Channel,,"        Balboa Pier, Newport Beach",9410583,33.6,-117.9,Subordinate
California,    San Pedro Channel,,        Santa Ana River entrance (inside),9410599,33.63,-117.958,Subordinate
California,    San Pedro Channel,,        Los Patos (highway bridge),TWC0427,33.7167,-118.05,Subordinate
California,    San Pedro Channel,,"        Long Beach, Terminal Island",9410680,33.7517,-118.227,Harmonic
California,    San Pedro Channel,,"        Long Beach, Inner Harbor",9410686,33.7717,-118.21,Subordinate
California,    San Pedro Channel,,        Cabrillo Beach,9410650,33.7067,-118.273,Subordinate
California,    San Pedro Channel,,        LOS ANGELES (Outer Harbor),9410660,33.7199,-118.2729,Harmonic
California,    San Pedro Channel,,"        Los Angeles Harbor, Mormon Island",TWC0439,33.75,-118.2667,Subordinate
California,    San Pedro Channel,,"        King Harbor, Santa Monica Bay",9410738,33.8467,-118.398,Subordinate
California,    San Pedro Channel,,"        El Segundo, Santa Monica Bay",9410777,33.9083,-118.433,Subordinate
California,    San Pedro Channel,,"        Santa Monica, Municipal Pier",9410840,34.0083,-118.5,Harmonic
California,    Santa Barbara Channel,,        Mugu Lagoon (ocean pier),TWC0445,34.1,-119.1,Subordinate
California,    Santa Barbara Channel,,        Port Hueneme,9411065,34.1483,-119.203,Subordinate
California,    Santa Barbara Channel,,        Ventura,9411189,34.2667,-119.283,Subordinate
California,    Santa Barbara Channel,,"        Rincon Island, Mussel Shoals",9411270,34.3483,-119.443,Subordinate
California,    Santa Barbara Channel,,        Santa Barbara,9411340,34.4031,-119.6928,Harmonic
California,    Santa Barbara Channel,,"        Gaviota State Park, Pacific Ocean",9411399,34.4694,-120.2283,Harmonic
California,    Santa Barbara Channel,,        Oil Platform Harvest,9411406,34.4692,-120.6819,Harmonic
California,    Santa Barbara Islands,,"        Wilson Cove, San Clemente Island",9410032,33.005,-118.557,Harmonic
California,    Santa Barbara Islands,,"        Catalina Harbor, Santa Catalina Island",9410092,33.4317,-118.503,Subordinate
California,    Santa Barbara Islands,,"        Avalon, Santa Catalina Island",9410079,33.345,-118.325,Harmonic
California,    Santa Barbara Islands,,        Santa Barbara Island,TWC0463,33.4833,-119.0333,Subordinate
California,    Santa Barbara Islands,,        San Nicolas Island,9410068,33.2667,-119.497,Subordinate
California,    Santa Barbara Islands,,"        Prisoners Harbor, Santa Cruz Island",9410971,34.02,-119.683,Subordinate
California,    Santa Barbara Islands,,"        Bechers Bay, Santa Rosa Island",9410962,34.0083,-120.047,Subordinate
California,    Santa Barbara Islands,,"        Cuyler Harbor, San Miguel Island",9410988,34.0567,-120.355,Subordinate
California,"    Outer Coast, Port San Luis",,        Point Arguello,TWC0473,34.5833,-120.65,Subordinate
California,"    Outer Coast, Port San Luis",,        PORT SAN LUIS,9412110,35.1688,-120.7542,Harmonic
California,"    Outer Coast, Port San Luis",,        San Simeon,9412553,35.6417,-121.188,Subordinate
California,"    Outer Coast, Port San Luis",,        Mansfield Cone,9412802,35.9495,-121.4819,Harmonic
California,"    Outer Coast, Port San Luis",,"        Carmel Cove, Carmel Bay",9413375,36.52,-121.94,Subordinate
California,"    Outer Coast, Port San Luis",        Monterey Bay,"            MONTEREY, MONTEREY BAY",9413450,36.605,-121.8881,Harmonic
California,"    Outer Coast, Port San Luis",        Monterey Bay,            General Fish Company Pier,9413617,36.8017,-121.787,Subordinate
California,"    Outer Coast, Port San Luis",        Monterey Bay,"            Moss Landing, Ocean Pier",9413616,36.8017,-121.79,Subordinate
California,"    Outer Coast, Port San Luis",        Monterey Bay,            Elkhorn Yacht Club,9413626,36.8133,-121.787,Subordinate
California,"    Outer Coast, Port San Luis",        Monterey Bay,"            Elkhorn Slough, Highway 1 Bridge",9413623,36.81,-121.785,Subordinate
California,"    Outer Coast, Port San Luis",        Monterey Bay,            Pacific Mariculture Dock,9413624,36.8133,-121.758,Subordinate
California,"    Outer Coast, Port San Luis",        Monterey Bay,"            Elkhorn, Elkhorn Slough",9413631,36.8183,-121.747,Harmonic
California,"    Outer Coast, Port San Luis",        Monterey Bay,"            Tidal Creek, Elkhorn Slough",9413643,36.8333,-121.745,Harmonic
California,"    Outer Coast, Port San Luis",        Monterey Bay,"            Kirby Park, Elkhorn Slough",9413651,36.8413,-121.7453,Harmonic
California,"    Outer Coast, Port San Luis",        Monterey Bay,            Elkhorn Slough railroad bridge,9413663,36.8567,-121.755,Harmonic
California,"    Outer Coast, Port San Luis",        Monterey Bay,"            Santa Cruz, Monterey Bay",9413745,36.9583,-122.017,Subordinate
California,"    Outer Coast, Port San Luis",,        Ano Nuevo Island,9413878,37.1083,-122.338,Subordinate
California,"    Outer Coast, Port San Luis",,"        Pillar Point Harbor, Half Moon Bay",9414131,37.5025,-122.4822,Harmonic
California,"    Outer Coast, Port San Luis",,        Southeast Farallon Island,9414262,37.7,-123,Subordinate
California,"    Outer Coast, Port San Luis",,        San Francisco Bar,TWC0509,37.7667,-122.6333,Subordinate
California,"    Outer Coast, Port San Luis",,"        Ocean Beach, outer coast",9414275,37.775,-122.513,Subordinate
California,    San Francisco Bay,,"        Point Bonita, Bonita Cove",9414906,37.8183,-122.528,Subordinate
California,    San Francisco Bay,,        SAN FRANCISCO (Golden Gate),9414290,37.8063,-122.4659,Harmonic
California,    San Francisco Bay,,        Alcatraz Island,9414792,37.8267,-122.417,Subordinate
California,    San Francisco Bay,,"        San Francisco, North Point, Pier 41",9414305,37.81,-122.413,Subordinate
California,    San Francisco Bay,,"        Rincon Point, Pier 22 1/2",9414317,37.79,-122.387,Harmonic
California,    San Francisco Bay,,        Yerba Buena Island,9414782,37.81,-122.36,Subordinate
California,    San Francisco Bay,,"        Oakland, Matson Wharf",9414779,37.81,-122.327,Subordinate
California,    San Francisco Bay,,        Oakland Middle Harbor,9414777,37.805,-122.338,Subordinate
California,    San Francisco Bay,,        Oakland Pier,9414765,37.795,-122.33,Subordinate
California,    San Francisco Bay,,        Oakland Inner Harbor,9414764,37.795,-122.282,Harmonic
California,    San Francisco Bay,,        Alameda Naval Air Station,9414767,37.7933,-122.315,Subordinate
California,    San Francisco Bay,,        Alameda,9414750,37.7717,-122.3,Harmonic
California,    San Francisco Bay,,"        Oakland Harbor, Grove Street",9414763,37.795,-122.283,Subordinate
California,    San Francisco Bay,,"        Oakland Harbor, Park Street Bridge",9414746,37.7717,-122.235,Harmonic
California,    San Francisco Bay,,"        San Leandro Channel, San Leandro Bay",9414724,37.7483,-122.235,Subordinate
California,    San Francisco Bay,,        Oakland Airport,9414711,37.7317,-122.208,Subordinate
California,    San Francisco Bay,,        Potrero Point,9414334,37.7583,-122.383,Subordinate
California,    San Francisco Bay,,        Hunters Point,9414358,37.73,-122.357,Harmonic
California,    San Francisco Bay,,        San Leandro Marina,9414688,37.695,-122.192,Harmonic
