state,group,subgroup,Name,Id,Lat,Lon,Predictions
Washington,    Columbia River,,        Columbia River entrance (N. Jetty),9440574,46.2733,-124.072,Subordinate
Washington,    Columbia River,,        Cape Disappointment,9440581,46.281,-124.0463,Harmonic
Washington,    Columbia River,,"        Fort Canby, Jetty 'A', Wash.",9440572,46.2683,-124.037,Subordinate
Washington,    Columbia River,,"        Ilwaco, Baker Bay, Wash.",9440597,46.3033,-124.04,Subordinate
Washington,    Columbia River,,"        Chinook, Baker Bay, Wash.",9440573,46.2717,-123.948,Subordinate
Washington,    Columbia River,,"        Hungry Harbor, Wash.",9440563,46.2583,-123.848,Subordinate
Washington,    Columbia River,,"        Hammond, Oregon",9439011,46.2017,-123.945,Harmonic
Washington,    Columbia River,,"        Point Adams, Oreg.",TWC0881,46.2,-123.95,Subordinate
Washington,    Columbia River,,"        Astoria (Youngs Bay), Oreg.",9439026,46.1717,-123.842,Subordinate
Washington,    Columbia River,,"        Cathcart Landing, Youngs River",9438772,46.1243,-123.8043,Harmonic
Washington,    Columbia River,,"        Warrenton, Skipanon River, Oreg.",TWC0883,46.1667,-123.9167,Subordinate
Washington,    Columbia River,,"        Astoria (Port Docks), Oreg.",9439023,46.1867,-123.86,Subordinate
Washington,    Columbia River,,"        ASTORIA (Tongue Point), Oreg.",9439040,46.2073,-123.7683,Harmonic
Washington,    Columbia River,,"        Knappa, Knappa Slough",9439069,46.1867,-123.588,Subordinate
Washington,    Columbia River,,"        Settlers Point, Oreg.",9439054,46.175,-123.678,Subordinate
Washington,    Columbia River,,"        Harrington Point, Wash.",TWC0895,46.2667,-123.65,Subordinate
Washington,    Columbia River,,        Skamokawa,9440569,46.2667,-123.452,Harmonic
Washington,    Columbia River,,        Wauna,9439099,46.16,-123.405,Harmonic
Washington,    Columbia River,,        Cape Horn,9440482,46.1517,-123.29,Harmonic
Washington,    Columbia River,,        Barlow Point,9440483,46.1522,-123.0392,Harmonic
Washington,    Columbia River,,        Longview,9440422,46.1061,-122.9542,Harmonic
Washington,    Columbia River,,        Temco Kalama Terminal,9440357,45.9867,-122.8367,Harmonic
Washington,    Columbia River,,        Saint Helens,9439201,45.865,-122.797,Harmonic
Washington,    Columbia River,,"        Knapp Landing, Willow Bar",9440171,45.7417,-122.755,Harmonic
Washington,    Columbia River,,        Rocky Point,9439189,45.6967,-122.868,Harmonic
Washington,    Columbia River,,        Portland Morrison Street Bridge,9439221,45.51,-122.673,Harmonic
Washington,    Columbia River,,        Vancouver,9440083,45.6317,-122.697,Harmonic
Washington,    Columbia River,,        Washougal,9440047,45.5783,-122.382,Harmonic
Washington,    Columbia River,,        Beacon Rock State Park,9440079,45.6203,-122.0203,Harmonic
Washington,    Willapa Bay,,        Nahcotta,9440747,46.5017,-124.023,Subordinate
Washington,    Willapa Bay,,        Tarlatt Slough,TWC0933,46.37,-124.005,Subordinate
Washington,    Willapa Bay,,        Greenhead Slough,9440650,46.3722,-123.9503,Harmonic
Washington,    Willapa Bay,,"        Paradise Point, Long Island",9440723,46.4683,-123.945,Subordinate
Washington,    Willapa Bay,,"        Naselle River, swing bridge",9440691,46.43,-123.903,Subordinate
Washington,    Willapa Bay,,"        Naselle River, 4 miles above swing bridge",9440662,46.3883,-123.84,Subordinate
Washington,    Willapa Bay,,"        Bay Center, Palix River",9440846,46.6233,-123.945,Subordinate
Washington,    Willapa Bay,,"        Palix River, south fork",9440813,46.5867,-123.91,Subordinate
Washington,    Willapa Bay,,        TOKE POINT,9440910,46.7075,-123.9669,Harmonic
Washington,    Willapa Bay,,"        Mailboat Slough, Willapa River",TWC0940,46.6883,-123.8167,Subordinate
Washington,    Willapa Bay,,"        South Bend, Willapa River",9440875,46.6633,-123.798,Harmonic
Washington,    Willapa Bay,,"        Raymond, Willapa River",9440886,46.6833,-123.755,Subordinate
Washington,    Grays Harbor,,"        Westport, Point Chehalis",9441102,46.9043,-124.1051,Harmonic
Washington,    Grays Harbor,,        Point Brown,9441156,46.95,-124.128,Subordinate
Washington,    Grays Harbor,,"        Bay City, South Bay",9441038,46.8617,-124.06,Subordinate
Washington,    Grays Harbor,,        Markham,9441098,46.9067,-123.998,Subordinate
Washington,    Grays Harbor,,        ABERDEEN,9441187,46.9683,-123.853,Harmonic
Washington,    Grays Harbor,,"        Cosmopolis, Chehalis River",9441158,46.9667,-123.778,Subordinate
Washington,    Grays Harbor,,"        Montesano, Chehalis River",TWC0959,46.9683,-123.6,Subordinate
Washington,Olympic Peninsula,,    Point Grenville,9441627,47.3033,-124.27,Subordinate
Washington,Olympic Peninsula,,    Destruction Island,TWC0965,47.6667,-124.4833,Subordinate
Washington,Olympic Peninsula,,    James Island,9442388,47.9067,-124.647,Subordinate
Washington,Olympic Peninsula,,"    La Push, Quillayute River",9442396,47.9133,-124.6369,Harmonic
Washington,Olympic Peninsula,,"    Tskawahyah Island, Cape Alava",9442705,48.1711,-124.7369,Harmonic
Washington,Olympic Peninsula,,    Makah Bay,9442861,48.2967,-124.672,Subordinate
Washington,    Strait of Juan de Fuca,,"        Tatoosh Island, Cape Flattery",9442971,48.3917,-124.737,Subordinate
Washington,    Strait of Juan de Fuca,,        NEAH BAY,9443090,48.3703,-124.6019,Harmonic
Washington,    Strait of Juan de Fuca,,"        Sekiu, Clallam Bay",9443361,48.2633,-124.297,Harmonic
Washington,    Strait of Juan de Fuca,,        Jim Creek,9443551,48.1872,-124.0625,Harmonic
Washington,    Strait of Juan de Fuca,,        Twin Rivers,9443644,48.175,-123.95,Subordinate
Washington,    Strait of Juan de Fuca,,        Crescent Bay,9443826,48.1617,-123.725,Subordinate
Washington,    Strait of Juan de Fuca,,        Port Angeles,9444090,48.125,-123.44,Harmonic
Washington,    Strait of Juan de Fuca,,"        Ediz Hook, Port Angeles",9444122,48.14,-123.413,Subordinate
Washington,    Strait of Juan de Fuca,,        Dungeness,9444471,48.1667,-123.117,Subordinate
Washington,    Strait of Juan de Fuca,,        Sequim Bay entrance,9444555,48.0817,-123.043,Subordinate
Washington,    Strait of Juan de Fuca,,"        Gardiner, Discovery Bay",9444705,48.0583,-122.917,Subordinate
Washington,    Strait of Juan de Fuca,,        Smith Island,9447985,48.3167,-122.837,Subordinate
Washington,    Strait of Juan de Fuca,,"        Point Partridge, Whidbey Island",9447934,48.2317,-122.765,Subordinate
